,code,open,close,date,exchange_code
0,10000003.XSHG,0.1272,0.1225,2015-02-09,XSHG
1,10000010.XSHG,0.1828,0.1542,2015-02-09,XSHG
2,10000001.XSHG,0.182,0.1826,2015-02-09,XSHG
3,10000007.XSHG,0.1007,0.0777,2015-02-09,XSHG
4,10000006.XSHG,0.0796,0.0617,2015-02-09,XSHG
5,10000005.XSHG,0.0868,0.0735,2015-02-09,XSHG
6,10000026.XSHG,0.1602,0.1379,2015-02-09,XSHG
7,10000009.XSHG,0.1527,0.1268,2015-02-09,XSHG
8,10000008.XSHG,0.1251,0.0969,2015-02-09,XSHG
9,10000012.XSHG,0.1898,0.1785,2015-02-09,XSHG
10,10000013.XSHG,0.1657,0.1466,2015-02-09,XSHG
11,10000014.XSHG,0.1429,0.1261,2015-02-09,XSHG
12,10000002.XSHG,0.1529,0.146,2015-02-09,XSHG
13,10000015.XSHG,0.1226,0.1008,2015-02-09,XSHG
14,10000016.XSHG,0.1085,0.088,2015-02-09,XSHG
15,10000004.XSHG,0.1054,0.0942,2015-02-09,XSHG
16,10000017.XSHG,0.1308,0.1111,2015-02-09,XSHG
17,10000036.XSHG,0.2054,0.1795,2015-02-09,XSHG
18,10000037.XSHG,0.229,0.2116,2015-02-09,XSHG
19,10000034.XSHG,0.2828,0.2326,2015-02-09,XSHG
20,10000035.XSHG,0.2621,0.2116,2015-02-09,XSHG
21,10000032.XSHG,0.3283,0.2787,2015-02-09,XSHG
22,10000033.XSHG,0.3046,0.2583,2015-02-09,XSHG
23,10000030.XSHG,0.2639,0.2329,2015-02-09,XSHG
24,10000031.XSHG,0.3531,0.313,2015-02-09,XSHG
25,10000018.XSHG,0.1559,0.1327,2015-02-09,XSHG
26,10000019.XSHG,0.1828,0.1614,2015-02-09,XSHG
27,10000038.XSHG,0.2549,0.2361,2015-02-09,XSHG
28,10000039.XSHG,0.2818,0.2549,2015-02-09,XSHG
29,10000011.XSHG,0.2176,0.21,2015-02-09,XSHG
30,10000029.XSHG,0.2353,0.2055,2015-02-09,XSHG
31,10000028.XSHG,0.2086,0.1882,2015-02-09,XSHG
32,10000021.XSHG,0.281,0.2662,2015-02-09,XSHG
33,10000020.XSHG,0.2124,0.1903,2015-02-09,XSHG
34,10000023.XSHG,0.2319,0.2105,2015-02-09,XSHG
35,10000022.XSHG,0.255,0.2366,2015-02-09,XSHG
36,10000025.XSHG,0.1877,0.1652,2015-02-09,XSHG
37,10000024.XSHG,0.2086,0.187,2015-02-09,XSHG
38,10000027.XSHG,0.1835,0.1631,2015-02-09,XSHG
39,10000040.XSHG,0.3097,0.2935,2015-02-09,XSHG
40,10000003.XSHG,0.1237,0.1367,2015-02-10,XSHG
41,10000010.XSHG,0.1509,0.126,2015-02-10,XSHG
42,10000001.XSHG,0.1856,0.2072,2015-02-10,XSHG
43,10000007.XSHG,0.0758,0.0578,2015-02-10,XSHG
44,10000006.XSHG,0.0601,0.0451,2015-02-10,XSHG
45,10000005.XSHG,0.0756,0.0855,2015-02-10,XSHG
46,10000004.XSHG,0.0966,0.1055,2015-02-10,XSHG
47,10000009.XSHG,0.1227,0.0975,2015-02-10,XSHG
48,10000008.XSHG,0.0945,0.0757,2015-02-10,XSHG
49,10000012.XSHG,0.1825,0.1897,2015-02-10,XSHG
50,10000013.XSHG,0.151,0.1604,2015-02-10,XSHG
51,10000014.XSHG,0.13,0.1346,2015-02-10,XSHG
52,10000002.XSHG,0.1496,0.1659,2015-02-10,XSHG
53,10000015.XSHG,0.1039,0.1095,2015-02-10,XSHG
54,10000016.XSHG,0.0855,0.0645,2015-02-10,XSHG
55,10000040.XSHG,0.2757,0.2503,2015-02-10,XSHG
56,10000017.XSHG,0.1077,0.0829,2015-02-10,XSHG
57,10000036.XSHG,0.1744,0.1542,2015-02-10,XSHG
58,10000037.XSHG,0.2112,0.1759,2015-02-10,XSHG
59,10000034.XSHG,0.2348,0.254,2015-02-10,XSHG
60,10000035.XSHG,0.2161,0.2283,2015-02-10,XSHG
61,10000032.XSHG,0.2832,0.304,2015-02-10,XSHG
62,10000033.XSHG,0.2579,0.277,2015-02-10,XSHG
63,10000030.XSHG,0.2245,0.1996,2015-02-10,XSHG
64,10000031.XSHG,0.3153,0.3325,2015-02-10,XSHG
65,10000018.XSHG,0.1287,0.102,2015-02-10,XSHG
66,10000019.XSHG,0.1569,0.127,2015-02-10,XSHG
67,10000038.XSHG,0.2356,0.198,2015-02-10,XSHG
68,10000039.XSHG,0.2551,0.2212,2015-02-10,XSHG
69,10000021.XSHG,0.2622,0.2751,2015-02-10,XSHG
70,10000020.XSHG,0.1858,0.1528,2015-02-10,XSHG
71,10000023.XSHG,0.2065,0.2165,2015-02-10,XSHG
72,10000011.XSHG,0.2139,0.224,2015-02-10,XSHG
73,10000022.XSHG,0.2326,0.2446,2015-02-10,XSHG
74,10000043.XSHG,0.0838,0.0898,2015-02-10,XSHG
75,10000042.XSHG,0.187,0.154,2015-02-10,XSHG
76,10000029.XSHG,0.1859,0.1728,2015-02-10,XSHG
77,10000028.XSHG,0.1838,0.1518,2015-02-10,XSHG
78,10000041.XSHG,0.0577,0.0622,2015-02-10,XSHG
79,10000048.XSHG,0.3083,0.279,2015-02-10,XSHG
80,10000047.XSHG,0.197,0.2063,2015-02-10,XSHG
81,10000046.XSHG,0.251,0.2283,2015-02-10,XSHG
82,10000045.XSHG,0.147,0.1441,2015-02-10,XSHG
83,10000044.XSHG,0.2168,0.1836,2015-02-10,XSHG
84,10000025.XSHG,0.163,0.1688,2015-02-10,XSHG
85,10000024.XSHG,0.183,0.1905,2015-02-10,XSHG
86,10000027.XSHG,0.1591,0.1282,2015-02-10,XSHG
87,10000026.XSHG,0.1356,0.1076,2015-02-10,XSHG
88,10000003.XSHG,0.1374,0.1363,2015-02-11,XSHG
89,10000010.XSHG,0.1212,0.0992,2015-02-11,XSHG
90,10000001.XSHG,0.2083,0.2107,2015-02-11,XSHG
91,10000007.XSHG,0.0561,0.0425,2015-02-11,XSHG
92,10000006.XSHG,0.0435,0.0321,2015-02-11,XSHG
93,10000005.XSHG,0.0856,0.078,2015-02-11,XSHG
94,10000004.XSHG,0.1089,0.105,2015-02-11,XSHG
95,10000009.XSHG,0.0953,0.0752,2015-02-11,XSHG
96,10000008.XSHG,0.0731,0.0564,2015-02-11,XSHG
97,10000012.XSHG,0.1923,0.1887,2015-02-11,XSHG
98,10000013.XSHG,0.1627,0.1577,2015-02-11,XSHG
99,10000014.XSHG,0.1364,0.1293,2015-02-11,XSHG
100,10000002.XSHG,0.1696,0.1702,2015-02-11,XSHG
101,10000015.XSHG,0.1128,0.1058,2015-02-11,XSHG
102,10000016.XSHG,0.0621,0.046,2015-02-11,XSHG
103,10000040.XSHG,0.2476,0.2159,2015-02-11,XSHG
104,10000017.XSHG,0.0789,0.0598,2015-02-11,XSHG
105,10000036.XSHG,0.1527,0.1245,2015-02-11,XSHG
106,10000037.XSHG,0.1744,0.1443,2015-02-11,XSHG
107,10000034.XSHG,0.2541,0.2355,2015-02-11,XSHG
108,10000035.XSHG,0.2284,0.2117,2015-02-11,XSHG
109,10000032.XSHG,0.3041,0.2894,2015-02-11,XSHG
110,10000033.XSHG,0.2771,0.2614,2015-02-11,XSHG
111,10000030.XSHG,0.1979,0.1706,2015-02-11,XSHG
