,code,open,close,date,exchange_code
0,10000201.XSHG,0.0297,0.0379,2015-08-20,XSHG
1,10000200.XSHG,1.1778,1.211,2015-08-20,XSHG
2,10000203.XSHG,0.1079,0.0404,2015-08-20,XSHG
3,10000202.XSHG,0.5953,0.6911,2015-08-20,XSHG
4,10000205.XSHG,0.037,0.0447,2015-08-20,XSHG
5,10000204.XSHG,0.5759,0.6291,2015-08-20,XSHG
6,10000206.XSHG,0.4895,0.5928,2015-08-20,XSHG
7,10000165.XSHG,0.0043,0.0018,2015-08-20,XSHG
8,10000166.XSHG,0.8506,0.91,2015-08-20,XSHG
9,10000197.XSHG,0.066,0.0015,2015-08-20,XSHG
10,10000191.XSHG,1.011,1.0225,2015-08-20,XSHG
11,10000190.XSHG,0.9101,0.9196,2015-08-20,XSHG
12,10000192.XSHG,1.1072,1.1028,2015-08-20,XSHG
13,10000055.XSHG,0.054,0.0361,2015-08-20,XSHG
14,10000056.XSHG,0.2067,0.25,2015-08-20,XSHG
15,10000199.XSHG,0.0265,0.0147,2015-08-20,XSHG
16,10000198.XSHG,1.1483,1.2051,2015-08-20,XSHG
17,10000274.XSHG,0.4348,0.4841,2015-08-20,XSHG
18,10000277.XSHG,0.0057,0.0023,2015-08-20,XSHG
19,10000270.XSHG,0.0879,0.0749,2015-08-20,XSHG
20,10000271.XSHG,0.0706,0.0664,2015-08-20,XSHG
21,10000272.XSHG,0.3287,0.395,2015-08-20,XSHG
22,10000273.XSHG,0.3525,0.4387,2015-08-20,XSHG
23,10000173.XSHG,0.0044,0.0022,2015-08-20,XSHG
24,10000278.XSHG,0.1728,0.1944,2015-08-20,XSHG
25,10000279.XSHG,0.1062,0.0972,2015-08-20,XSHG
26,10000174.XSHG,0.9494,1.0064,2015-08-20,XSHG
27,10000289.XSHG,0.0764,0.0957,2015-08-20,XSHG
28,10000288.XSHG,0.0728,0.1038,2015-08-20,XSHG
29,10000048.XSHG,0.1636,0.2107,2015-08-20,XSHG
