,close,open,high,low
2015-01-05,2.365,2.327,2.395,2.304
2015-01-06,2.338,2.345,2.391,2.31
2015-01-07,2.334,2.322,2.365,2.307
2015-01-08,2.271,2.344,2.354,2.264
2015-01-09,2.276,2.264,2.385,2.251
2015-01-12,2.255,2.303,2.304,2.217
2015-01-13,2.241,2.255,2.276,2.229
2015-01-14,2.249,2.25,2.282,2.224
2015-01-15,2.332,2.249,2.336,2.232
2015-01-16,2.349,2.343,2.376,2.328
2015-01-19,2.114,2.192,2.223,2.114
2015-01-20,2.129,2.111,2.165,2.089
2015-01-21,2.258,2.152,2.27,2.139
2015-01-22,2.254,2.264,2.268,2.221
2015-01-23,2.276,2.267,2.317,2.254
2015-01-26,2.272,2.283,2.283,2.241
2015-01-27,2.235,2.281,2.284,2.197
2015-01-28,2.202,2.212,2.248,2.196
2015-01-29,2.165,2.167,2.184,2.146
2015-01-30,2.135,2.178,2.194,2.127
2015-02-02,2.074,2.075,2.112,2.068
2015-02-03,2.135,2.101,2.145,2.074
2015-02-04,2.105,2.142,2.168,2.102
2015-02-05,2.089,2.183,2.188,2.086
2015-02-06,2.066,2.084,2.104,2.047
2015-02-09,2.102,2.066,2.128,2.056
2015-02-10,2.137,2.102,2.141,2.093
2015-02-11,2.147,2.138,2.154,2.128
2015-02-12,2.15,2.146,2.156,2.12
2015-02-13,2.156,2.156,2.191,2.148
2015-02-16,2.159,2.156,2.167,2.146
2015-02-17,2.175,2.166,2.191,2.166
2015-02-25,2.138,2.175,2.175,2.128
2015-02-26,2.21,2.136,2.212,2.118
2015-02-27,2.199,2.207,2.223,2.19
2015-03-02,2.202,2.215,2.219,2.186
2015-03-03,2.132,2.189,2.189,2.129
2015-03-04,2.13,2.136,2.147,2.112
2015-03-05,2.105,2.115,2.12,2.085
2015-03-06,2.11,2.106,2.129,2.104
2015-03-09,2.162,2.074,2.174,2.065
2015-03-10,2.128,2.147,2.155,2.124
2015-03-11,2.141,2.131,2.174,2.13
2015-03-12,2.208,2.168,2.23,2.154
2015-03-13,2.214,2.217,2.25,2.201
2015-03-16,2.264,2.23,2.267,2.211
2015-03-17,2.294,2.288,2.299,2.272
2015-03-18,2.355,2.3,2.358,2.3
2015-03-19,2.333,2.349,2.354,2.322
2015-03-20,2.377,2.344,2.406,2.323
2015-03-23,2.414,2.396,2.42,2.387
2015-03-24,2.379,2.414,2.415,2.352
2015-03-25,2.349,2.372,2.389,2.329
2015-03-26,2.384,2.336,2.411,2.324
2015-03-27,2.389,2.39,2.411,2.364
2015-03-30,2.471,2.412,2.482,2.4
2015-03-31,2.442,2.51,2.539,2.435
2015-04-01,2.483,2.447,2.496,2.444
2015-04-02,2.47,2.507,2.511,2.439
2015-04-03,2.501,2.459,2.504,2.457
2015-04-07,2.563,2.524,2.568,2.515
2015-04-08,2.614,2.575,2.625,2.552
2015-04-09,2.595,2.625,2.686,2.586
2015-04-10,2.648,2.596,2.659,2.586
2015-04-13,2.698,2.697,2.714,2.674
2015-04-14,2.705,2.698,2.727,2.675
2015-04-15,2.716,2.705,2.776,2.694
2015-04-16,2.837,2.727,2.838,2.69
2015-04-17,2.873,2.922,2.928,2.847
2015-04-20,2.799,2.889,2.915,2.787
2015-04-21,2.833,2.805,2.841,2.777
2015-04-22,2.923,2.86,2.929,2.838
2015-04-23,2.897,2.931,2.937,2.873
2015-04-24,2.86,2.861,2.879,2.799
2015-04-27,2.936,2.889,2.94,2.882
2015-04-28,2.911,2.931,2.983,2.885
2015-04-29,2.904,2.904,2.928,2.874
2015-04-30,2.884,2.918,2.93,2.883
2015-05-04,2.896,2.886,2.901,2.841
2015-05-05,2.792,2.894,2.896,2.781
2015-05-06,2.781,2.805,2.875,2.754
2015-05-07,2.746,2.778,2.787,2.742
2015-05-08,2.755,2.77,2.776,2.698
2015-05-11,2.805,2.755,2.81,2.724
2015-05-12,2.822,2.799,2.835,2.777
2015-05-13,2.782,2.822,2.828,2.766
2015-05-14,2.772,2.775,2.795,2.755
2015-05-15,2.711,2.772,2.772,2.701
2015-05-18,2.657,2.688,2.705,2.656
2015-05-19,2.765,2.657,2.772,2.652
2015-05-20,2.765,2.782,2.82,2.752
2015-05-21,2.8,2.786,2.809,2.764
2015-05-22,2.885,2.831,2.887,2.812
2015-05-25,2.979,2.92,2.982,2.901
2015-05-26,2.994,3.002,3.019,2.941
2015-05-27,2.963,3.007,3.022,2.946
2015-05-28,2.777,2.963,2.976,2.751
2015-05-29,2.765,2.779,2.809,2.702
2015-06-01,2.884,2.765,2.895,2.734
2015-06-02,2.894,2.881,2.903,2.84
2015-06-03,2.878,2.891,2.898,2.838
2015-06-04,2.939,2.878,2.956,2.751
2015-06-05,2.935,3.012,3.021,2.875
2015-06-08,3.091,2.958,3.11,2.937
2015-06-09,3.031,3.12,3.125,3.0
2015-06-10,2.994,2.991,3.044,2.968
2015-06-11,2.976,3.007,3.017,2.949
2015-06-12,2.988,2.997,3.011,2.949
2015-06-15,2.901,3.007,3.021,2.895
2015-06-16,2.839,2.885,2.921,2.806
2015-06-17,2.864,2.85,2.877,2.809
2015-06-18,2.744,2.847,2.847,2.733
2015-06-19,2.592,2.728,2.742,2.584
2015-06-23,2.684,2.609,2.696,2.525
2015-06-24,2.722,2.697,2.733,2.634
2015-06-25,2.633,2.749,2.76,2.621
2015-06-26,2.423,2.579,2.644,2.377
2015-06-29,2.399,2.5,2.524,2.238
2015-06-30,2.571,2.399,2.575,2.346
2015-07-01,2.46,2.534,2.57,2.425
2015-07-02,2.421,2.516,2.519,2.327
2015-07-03,2.326,2.396,2.46,2.255
2015-07-06,2.473,2.559,2.559,2.377
2015-07-07,2.516,2.419,2.543,2.351
2015-07-08,2.349,2.345,2.487,2.265
2015-07-09,2.518,2.281,2.576,2.234
2015-07-10,2.62,2.468,2.715,2.444
2015-07-13,2.581,2.561,2.66,2.521
2015-07-14,2.491,2.53,2.561,2.45
2015-07-15,2.479,2.463,2.505,2.404
2015-07-16,2.471,2.48,2.506,2.435
